variety,region
Alicante_Bouschet,Languedoc
Aligote,Burgundy
Barbera,Northern_Italy
Cabernet_franc,Burgundy
Cabernet_Sauvignon,Bordeaux
Calzin,Olmo
Carignane,Rhone
Carmenere,Bordeaux
Carnelian,Olmo
Chardonnay,Burgundy
Chasselas_doree,Switzerland
Cinsault,Languedoc
Coda_di_Volpe,Southern_Italy
Counoise,Rhone
Dolcetto,Northern_Italy
Early_Muscat,Olmo
Gamay_Noir,Burgundy
Gewurtztraminer,Germany
Gruner_Veltiner,Austria
July_Muscat,Olmo
Macabeo,Spain
Malvasia_bianca,Italy
Marsanne,Rhone
Merlot,Bordeaux
Morrestal,Spanish
Muscadelle_du_Bordelais,Olmo
Nebbiolo,Northern_Italy
Palomino,Spanish
Pinot_gris,Burgundy
Pinot_noir,Burgundy
Pinotage,South_Africa
Refosco,Italy
Rkatsiteli,Georgia
Rotgipfler,Austria
Roussanne,Rhone
Ruby_Cabernet,Olmo
Sangiovese,Northern_Italy
Sauvignon_blanc,Bordeaux
Schiopettino,Italy
Syrah,Rhone
Szagos_feher,Hungary
Tempranillo,Spanish
Tocai_Friulano,Northern_Italy
Ungni_blanc/Trebbiano,Rhone
Valdepenas,Rhone
Verdelho,Portugal
Viognier,Bordeaux
Zinfandel/Primitivo,Croatia
