PlantID,Variety,Region,LeafPotential1,LeafPotential2,LeafPotential3,LeafPotential4,LeafPotential5,LeafPotential6,LeafPotential7,StemPotential4
12.3,Auxerrois,Burgundy,9.5,6,8.3,11,11.4,12.9,10.1,8.1
12.4,Auxerrois,Burgundy,5.1,5.2,9.1,12,12.9,13.3,11.1,9
12.5,Chardonnay,Burgundy,3.5,5.1,9,16,15.2,14.5,11.3,10.5
12.6,Chardonnay,Burgundy,4,4.9,7.9,11.5,14.1,11.5,7.5,8
12.7,Gamay Noir,Burgundy,4,6.5,7.4,14,12.4,12.5,6.1,10
12.8,Gamay Noir,Burgundy,6,7.2,8.1,11.5,12.1,10.3,8,7.5
13.3,Pinot gris,Burgundy,5,7,9.5,12.5,11.4,10.9,6,9.5
13.4,Pinot gris,Burgundy,5,6.9,10.9,12,12.2,9.5,5,10
13.5,Pinot Meunier,Burgundy,6,7.8,8.7,12.8,10.9,7.5,6.5,7
13.6,Pinot Meunier,Burgundy,5,4.6,8.2,9.8,10.5,10.9,5,7
13.7,Pinot noir,Burgundy,4,5.9,9.5,11,11.1,10.9,5.5,6.5
13.8,Pinot noir,Burgundy,5,5.3,9.1,13,12.9,11.9,4.5,8
13.9,Cabernet franc,Bordeaux,5.5,6.4,8.6,13.2,11.9,11.9,6.5,8.1
13.1,Cabernet franc,Bordeaux,6,5.5,9.2,15,12,12,5.5,10.5
14.1,Cabernet Sauvignon,Bordeaux,5,7.2,8.1,12,12.6,12.1,5.5,10
14.2,Cabernet Sauvignon,Bordeaux,5,6.8,10.4,12.1,11.1,10.5,7,9.5
14.3,Carmenere,Bordeaux,5.5,6.8,9.1,13.5,11.9,13.5,5,9
14.4,Carmenere,Bordeaux,4.5,6.5,9.5,14,8.8,12.1,5.5,8.5
15.3,Merlot,Bordeaux,5.5,6.9,10.2,19,14.8,10.5,5,10
15.4,Merlot,Bordeaux,5,6.9,10.5,15.5,12,11.1,6,10.5
16.1,Sauvignon blanc,Bordeaux,5,7.2,7.5,12.5,11.8,12.1,7.5,10.1
16.2,Sauvignon blanc,Bordeaux,4,6.8,7.2,14.5,12.3,11,6,11
17.1,Durif/Petit syrah,Bordeaux,4.5,7.9,8.5,11,12.8,11.9,6.5,6.5
17.2,Ugni blanc/Trebbiano,Bordeaux,4.5,7,9.9,14.5,12.9,12.6,6.5,9.5
17.9,Carignane,Rhone,5,5.9,10.4,17,13.5,11.5,6.5,11
17.1,Carignane,Rhone,5.5,6.5,11.5,17.5,14,10.5,7.2,10.5
18.5,Durif/Petit syrah,Rhone,4.5,6,9.2,12,14.4,11.9,6,8
18.6,Durif/Petit syrah,Rhone,5.5,6.9,10.2,13.5,12.1,10.9,5.5,9
18.7,Marsanne,Rhone,5.5,6.6,9.8,14.1,11.3,10.5,5.5,10
18.8,Marsanne,Rhone,5,6.9,10.4,15,12.7,11.5,5.5,9
19.9,Syrah,Rhone,6,9.5,13.2,15,17.6,11.5,7,10
19.1,Syrah,Rhone,6.5,9.5,11.5,13.5,17,11.5,6.5,10
20.2,Valdepenas,Rhone,5,8.5,9,12,10.6,11.1,5.5,8.5
20.5,Gewurztraminer,Germany,6,8,8.5,13,12.1,9.1,4.25,6
20.6,Gewurztraminer,Germany,6.5,7.5,12,12.5,12.5,12,6,6.8
22.7,Furmint,Hungary,5,9,9,9,12.8,9.5,4.5,11.5
22.8,Furmint,Hungary,5.5,7.5,7,12,12.9,8.5,4.5,6.5
23.7,Szagos feher,Hungary,5,8,15,12,15.5,9.2,6.5,6
23.8,Szagos feher,Hungary,4.5,9.5,8,11,14.5,9.1,5,6
24.1,Barbera,Northern Italy,2.5,7.5,8.5,14,14,10.9,6,6.5
24.2,Barbera,Northern Italy,2.5,8.5,9.5,10,15,10.4,4.9,8
24.9,Dolcetto,Northern Italy,5,8,7,10,12,11.4,6,4.5
24.1,Dolcetto,Northern Italy,4,7.5,11,9,13,10.9,7,7
25.9,Nebbiolo,Northern Italy,4,7,9,11,12,10.9,4.5,4
25.1,Nebbiolo,Northern Italy,3.5,7,9,12.5,14,9.8,6,6
26.5,Sangiovese,Northern Italy,3.5,7.5,10,13,19,10.9,7.1,6
26.6,Sangiovese,Northern Italy,3.5,7.5,7.5,10.75,16,11.2,8.2,5
32.3,Zinfandel/Primitivo,Southern Italy,3,8,7.5,9.5,11.7,10.5,7,5
32.4,Zinfandel/Primitivo,Southern Italy,4.5,7,9.5,8,17,12.5,6.5,5
34.5,Morrastel,Spain,4,6,9.5,10,12.4,13.2,6.5,6.5
34.6,Morrastel,Spain,4.5,6.5,11,8,11.6,9.5,6.2,5
34.7,Palomino,Spain,2,7,7,10.5,10.1,9.5,8,7
34.8,Palomino,Spain,3.5,7,8,9,9.9,10.1,6.5,5.5
38.7,Verdelho,Portugal,4,7.5,7,10.5,7.4,15.1,5.5,4.5
38.8,Verdelho,Portugal,3,6.5,6.5,12,8.5,10.1,5.5,5
42.7,Olmo,Early Muscat,4.5,8,10,9,5,12.8,7.5,5
42.8,Olmo,Early Muscat,4.5,6.5,9,7,12,12.8,6.5,7
44.1,Olmo,Ruby Seedless,6.5,6,6.5,10.5,7,14.3,6.1,5
44.2,Olmo,Ruby Seedless,5.5,5.5,6.5,8,11,11,5,6
